character_id,voice_actor_id,voice_actor_name,voice_actor_language
178106,57590,"Kristanek, Diane",French
178106,7263,"Hikasa, Youko",Japanese
178106,13705,"Post, Laura",English
178106,52885,"Antunes, Lia",Portuguese (BR)
178106,57325,"Gris, Gaby",Spanish
178106,44938,"Jira, Jannika",German
178907,19884,"Oonishi, Saori",Japanese
178907,9241,"Bréheret, Laurence",French
178907,43710,"Valença, Carol",Portuguese (BR)
178907,45689,"Oeffinger, Leoni",German
178907,43880,"Buhr, Reba",English
175865,23919,"Suegara, Rie",Japanese
175865,44094,"Marina, Jéssica",Portuguese (BR)
175865,57790,"Bougerie, Elsa",French
175865,41329,"Tirado, Jeannie",English
175866,56255,"Rochet, Bérangère",French
175866,8805,"Honda, Mariko",Japanese
175866,7359,"Buckland, Kira",English
175866,53382,"Marciano, Thayná",Portuguese (BR)
175866,61021,"Gallardo, Dafne",Spanish
175866,40044,"Bäcker, Manuela",German
175708,1650,"Leigh, Cherami",English
182409,10273,"Matsuda, Kenichirou",Japanese
182409,54502,"Yee, Cory",English
182409,43693,"Silva, Dláigelles",Portuguese (BR)
182409,77492,"Lacroix, Hervé",French
182409,75575,"Vucetic, Bojan",German
182409,48833,"Kawaida, Natsumi",Japanese
178909,40432,"Sawashiro, Chiharu",Japanese
178909,43798,"Juarez, Ricardo",Portuguese (BR)
176657,270,"Okamoto, Nobuhiko",Japanese
176657,26575,"Caillebot, Rémi",French
176657,21839,"Ruiz, Miguel Ángel",Spanish
176657,37815,"Hackney, Christopher",English
176657,55781,"Henrique, Celso",Portuguese (BR)
178906,6634,"Kotobuki, Minako",Japanese
178906,54504,"Beckles, A.J.",English
178906,65057,"Frauches, Rony",Portuguese (BR)
178110,51279,"Mills, Trent",English
253752,74163,"Bonnasseau, Vincent",French
253752,54502,"Yee, Cory",English
253752,72981,"Irie, Naoki",Japanese
253752,43709,"Marques, Guilherme",Portuguese (BR)
253752,43483,"Sabel, Martin",German
256494,97,"Toriumi, Kousuke",Japanese
256494,45400,"Sandryni, Marcelo",Portuguese (BR)
175892,64,"Takahashi, Hiroki",Japanese
175892,42373,"Saab, Alejandro",English
175892,55742,"Casemiro, Bruno",Portuguese (BR)
255276,55500,"Herlin, Simon",French
255276,54504,"Beckles, A.J.",English
255276,78099,"Maruoka, Ryouma",Japanese
255276,78132,"Marques, Tristão",Portuguese (BR)
255505,36557,"Morinaga, Chitose",Japanese
255505,44014,"Falat, Carlos",Portuguese (BR)
255505,57587,"Gatto, Cécile",French
183860,15919,"Murase, Ayumu",Japanese
183860,60760,"Bertin-Hugault, Paul",French
183860,43646,"Alcântara, Pedro",Portuguese (BR)
